,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28,LA2,LA3
0,-23.820361313699724,-4.28397305225547,-5.240285312906642,0.31887751275095616,-17.566861533485103,-6.81549512740595,-9.285615671587781,-27.631021115928547,-27.631021115901806,-13.126465076344614,-27.631021115928547,-7.704712276580561,-27.631021115928245,-27.631021115928547,-27.631021115928547,-27.631021115928547
1,-17.395738502451604,-27.631021115928547,-27.631021115928515,-4.89002374874766,-27.631021115928547,-11.555325265613153,-17.10263931635284,-22.964809925522996,-9.137597472834212,-27.631021115928547,-9.176307789776185,-27.631021115928547,-27.631021105251826,-27.631021115407453,-27.631021115906556,-27.631021115928547
2,-22.93195604196182,-15.522271661978847,-6.487054135770919,-27.621503755483726,-15.186978283139187,-27.371873270309997,-27.631021115928547,-27.63102054138078,-14.458643306392402,-27.63102111582083,-20.11960538735845,-27.41534501433158,-23.69569378361769,-27.63102111211065,-27.631021115928547,-27.631007738012386
3,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115571045,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
4,-27.631021115928547,-27.631021115928547,-27.631021115928547,-26.45861554565148,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
5,-27.631021115928547,-25.457106494952818,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631013714021694,-27.631021115928547,-27.631021115928547,-27.631021115928547
6,-27.631021115928547,-27.631021115928544,-27.631021115928547,-27.631021115928547,-27.631021115928547,-2.6531330193858067,-27.63102111591292,-27.631021115928547,-27.631021115927815,-27.631021115928547,-12.216435479637575,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.63102108707007
7,-27.631021115928547,-27.631021115928547,-19.733992511801123,-27.631020400020642,-22.316915805990426,-15.573061855411671,-27.631014064740594,-27.631021115928547,-16.250235653055157,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.399402151312053,-27.631021115928547,-27.631021115928547,-27.631021115928547
8,-16.556532744372,-27.631020882461144,-18.040941555682757,-27.631021115928547,-27.631015249120587,-10.674963594807645,-14.038455264344336,-27.631021115928547,-13.030467044078835,-27.631021115928547,-21.18165776936118,-27.631021115928547,-27.630995046942104,-27.631021115928547,-27.631021115928547,-27.631021115928547
9,-27.292839552519602,-27.63102111592079,-19.902631470018346,-27.631021115928547,-20.01917627549493,-16.993478236366574,-16.04044688514532,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.627810633202593,-27.631021115928547,-21.58675389652457,-27.631021115928547,-27.631021115928547,-27.631021115928547
10,-27.631021115928547,-27.631021115928544,-27.631021115928547,-27.631021115928547,-27.57198721089755,-27.631021115928547,-19.289346031656436,-27.631021115928473,-21.481696274992366,-27.631021115928547,-27.624668528113304,-27.631021115928547,-16.70149652848619,-27.631021115928547,-27.631021115928547,-27.631021115928547
11,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-5.467431057061527,-27.594553525127253,-12.415579045375642,-27.631001780703,-27.631021115928547,-27.631021115928547,-27.585230147301782,-27.631021112793302,-9.607262851460233,-27.631021115928547,-27.631021115928547,-27.631021115928547
12,-27.631021115928547,-27.631021115928547,-22.054293918109163,-27.63101769512842,-7.7363616128837664,-7.049248250211474,-27.63093465291639,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.40503138562183,-27.631021115928547,-27.631021115928547,-27.631021115928547
13,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-2.35201329416778,-8.276484709187324,-27.631021115928547,-27.628311765932832,-9.876531666230898,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
14,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-6.295855596865076,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-12.92763537810903,-27.631021115928547,-27.631021115928547,-27.631021115928547
15,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928135,-27.631021115928547,-21.23717427267084,-18.230766408741005,-27.631021115928547,-27.63102106930696,-27.631021115928547,-15.875451233681467,-27.631021115928547,-27.631021115928547,-27.631021115928547
16,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-21.701079124194735,-27.342097411764374,-27.611936565865935,-27.40635157908825,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
17,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-15.946159966407693,-20.86787233792647,-14.366284958073908,-27.629171049407606,-18.672182467770128,-27.631021115928547,-12.30892987873129,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
18,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115896772,-27.631021115928547,-26.954119421992413,-16.338697947676067,-27.625494858995754,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
19,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.474261481264747,-27.631021115928547,-27.630782115508442,-27.631020270747108,-15.263165944200304,-27.631021115928547,-26.889659858689605,-27.593840518913463,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
20,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928473,-27.631021115928547,-13.360608792885294,-27.631021115928547,-27.63102111592847,-27.63101169847049,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
