Date,Time,F1,F2,F3,F4,F5,F6,F7,Top Tank,P1,P2,P3,P4,Bottom Tank
11-12-2020,14:52:20,-0.016758,-0.013579,0.082753,-0.015419,1.343317,4.102537,-2.137844,0.477647,-637.135076,722.396571,809.937444,637.904627,0.542578
11-12-2020,14:52:21,-0.014665,-0.012218,0.082861,-0.010916,1.33959,4.109077,-2.140886,0.478841,-637.148025,720.901557,805.140781,640.89591,0.543074
11-12-2020,14:52:22,-0.01553,-0.015891,0.085502,-0.014331,1.34657,4.121352,-2.142285,0.478645,-637.121291,722.142181,808.149608,639.995727,0.543198
11-12-2020,14:52:23,-0.017059,-0.013073,0.089619,-0.016625,1.343739,4.104078,-2.144678,0.479266,-637.11043,723.571614,805.873042,642.037953,0.543717
11-12-2020,14:52:24,-0.014933,-0.016897,0.092798,-0.016765,1.350286,4.10671,-2.142199,0.476679,-637.135076,720.308396,806.488759,639.024531,0.540966
11-12-2020,14:52:25,-0.013832,-0.014816,0.095701,-0.016055,1.35519,4.109803,-2.150345,0.47844,-637.139671,722.837682,808.174671,644.488708,0.542357
11-12-2020,14:52:26,-0.009651,-0.011603,0.08305,-0.012916,1.353073,4.115621,-2.151311,0.478183,-637.071165,722.420799,807.967065,640.205839,0.542652
11-12-2020,14:52:26,-0.016197,-0.016208,0.080831,-0.012059,1.35394,4.108477,-2.150042,0.478093,-637.116278,725.693624,811.219422,640.874607,0.542339
11-12-2020,14:52:27,-0.015682,-0.014461,0.080781,-0.01182,1.353012,4.094486,-2.148994,0.478203,-637.120456,723.605031,809.59032,639.990296,0.542107
11-12-2020,14:52:28,-0.015684,-0.011812,0.073139,-0.013879,1.349965,4.098331,-2.143645,0.478335,-637.14719,721.645096,806.946578,640.408433,0.543036
11-12-2020,14:52:29,-0.020215,-0.013637,0.069289,-0.0141,1.345993,4.109597,-2.138773,0.478998,-637.133405,723.163921,808.069824,638.241309,0.543638
11-12-2020,14:52:30,-0.015801,-0.018002,0.073194,-0.016814,1.345697,4.121859,-2.143241,0.477573,-637.131316,723.362755,808.849704,640.416369,0.5425
11-12-2020,14:52:31,-0.015231,-0.015107,0.078772,-0.013572,1.345623,4.110589,-2.14195,0.478561,-637.090798,722.735341,807.134134,639.507831,0.542076
11-12-2020,14:52:32,-0.016565,-0.011787,0.083139,-0.014551,1.344015,4.121169,-2.13904,0.477888,-637.140924,719.804627,806.571049,640.817797,0.542208
11-12-2020,14:52:33,-0.01339,-0.016334,0.08809,-0.015467,1.350338,4.120814,-2.1414,0.477749,-637.108759,722.064067,809.213537,641.128162,0.542898
11-12-2020,14:52:34,-0.016868,-0.01288,0.079619,-0.014531,1.343221,4.120968,-2.141616,0.478684,-637.169746,719.597439,807.11659,641.073858,0.541816
11-12-2020,14:52:35,-0.017085,-0.017744,0.077162,-0.012519,1.346584,4.124331,-2.140699,0.478564,-637.117532,720.19227,806.413569,641.832018,0.541432
11-12-2020,14:52:36,-0.016086,-0.012409,0.075906,-0.013309,1.339444,4.110043,-2.132136,0.479277,-637.152202,719.284568,805.23978,639.222947,0.541602
11-12-2020,14:52:36,-0.01398,-0.016223,0.079787,-0.015678,1.341431,4.119263,-2.139705,0.477729,-637.072,721.831816,807.75194,639.510755,0.541473
11-12-2020,14:52:37,-0.01509,-0.01438,0.080259,-0.011906,1.347139,4.111457,-2.141422,0.476759,-637.163063,720.190599,807.134552,640.424724,0.541426
11-12-2020,14:52:38,-0.01542,-0.016142,0.077923,-0.016113,1.348156,4.105659,-2.147492,0.477651,-637.056962,721.400313,808.639174,642.529608,0.542326
11-12-2020,14:52:39,-0.012128,-0.01288,0.077763,-0.014539,1.344346,4.107382,-2.147745,0.477626,-637.122126,720.533964,807.906914,637.095924,0.542821
11-12-2020,14:52:40,-0.016176,-0.015543,0.074036,-0.013529,1.352956,4.107743,-2.137511,0.478023,-637.165151,720.389016,805.227249,643.631967,0.540998
11-12-2020,14:52:41,-0.016244,-0.01724,0.076645,-0.011639,1.352602,4.124519,-2.144707,0.478654,-637.120038,722.525646,809.069424,640.415534,0.541686
11-12-2020,14:52:42,-0.017301,-0.01317,0.076499,-0.016396,1.352639,4.123489,-2.14008,0.477575,-637.13424,721.309668,808.523466,639.499895,0.544186
11-12-2020,14:52:43,-0.016627,-0.014254,0.074149,-0.016026,1.353197,4.13191,-2.144431,0.478517,-637.110013,723.43126,807.862635,638.027019,0.542646
11-12-2020,14:52:44,-0.013082,-0.012373,0.07375,-0.015588,1.347931,4.120413,-2.14259,0.478505,-637.139253,724.305128,809.110361,643.015415,0.541611
11-12-2020,14:52:45,-0.01167,-0.015545,0.073304,-0.012499,1.346826,4.125287,-2.144485,0.47844,-637.117114,720.890278,807.916103,642.190838,0.540897
11-12-2020,14:52:46,-0.017211,-0.015287,0.066632,-0.011773,1.351153,4.109943,-2.135785,0.476834,-637.102911,719.085316,807.903572,640.169498,0.540338
11-12-2020,14:52:46,-0.013884,-0.011708,0.073341,-0.012438,1.351023,4.107196,-2.145661,0.477495,-637.168493,720.794621,806.938642,639.825298,0.540592
11-12-2020,14:52:47,-0.015967,-0.012959,0.080446,-0.013776,1.349689,4.107422,-2.146466,0.479218,-637.163481,723.761676,808.894818,640.061726,0.542807
11-12-2020,14:52:48,-0.016169,-0.012723,0.086045,-0.016652,1.351788,4.102297,-2.147608,0.478692,-637.135911,722.184788,808.05228,641.408451,0.54118
11-12-2020,14:52:49,-0.015658,-0.014699,0.085916,-0.013484,1.350387,4.11206,-2.145278,0.477943,-637.100405,722.305091,806.642479,642.983668,0.541407
11-12-2020,14:52:50,-0.014465,-0.015714,0.086519,-0.015166,1.352644,4.112363,-2.145758,0.477018,-637.158468,722.38947,807.957875,640.948961,0.54262
11-12-2020,14:52:51,-0.016197,-0.015478,0.076889,-0.012788,1.34483,4.120793,-2.143506,0.478975,-637.150114,719.059835,806.30914,641.83703,0.542462
11-12-2020,14:52:52,-0.016311,-0.013311,0.081925,-0.014248,1.340452,4.124091,-2.147707,0.480113,-637.129645,722.42247,807.214754,642.841644,0.541971
11-12-2020,14:52:53,-0.016405,-0.0139,0.084309,-0.016453,1.344191,4.127351,-2.144249,0.479261,-637.149696,722.27418,808.175089,641.575956,0.542095
11-12-2020,14:52:54,-0.01636,-0.013484,0.090834,-0.014962,1.340847,4.128378,-2.141618,0.479618,-637.202328,716.533473,803.756044,641.110618,0.542368
11-12-2020,14:52:55,-0.01224,-0.013414,0.085318,-0.01729,1.345013,4.129602,-2.147492,0.478516,-637.153873,721.763728,807.74651,642.890517,0.542209
11-12-2020,14:52:56,-0.01832,-0.016771,0.084671,-0.014115,1.348259,4.121956,-2.147298,0.478444,-637.092468,721.894891,807.621612,640.100574,0.541605
11-12-2020,14:52:57,-0.017941,-0.012146,0.09005,-0.012591,1.346591,4.126183,-2.141535,0.478914,-637.133405,722.337255,807.132045,642.495773,0.541954
11-12-2020,14:52:57,-0.013769,-0.01443,0.08711,-0.01478,1.351398,4.119938,-2.141005,0.478046,-637.120456,721.447515,807.220184,641.315718,0.540785
11-12-2020,14:52:58,-0.013612,-0.015199,0.083446,-0.014259,1.352521,4.109077,-2.144141,0.479022,-637.124215,722.539431,807.74275,638.35827,0.54202
11-12-2020,14:52:59,-0.014182,-0.014885,0.083257,-0.01412,1.347888,4.114595,-2.140919,0.478212,-637.115025,721.000974,807.955369,639.815272,0.541991
11-12-2020,14:53:00,-0.015319,-0.014364,0.079132,-0.012586,1.346894,4.105789,-2.144775,0.480586,-637.113354,722.650127,807.886028,643.066794,0.540964
11-12-2020,14:53:01,-0.014737,-0.013156,0.074361,-0.012961,1.345396,4.112731,-2.145581,0.477611,-637.137582,722.361901,808.391467,640.989897,0.540702
11-12-2020,14:53:02,-0.015062,-0.015162,0.066577,-0.014537,1.350107,4.100523,-2.145594,0.480372,-637.150531,719.518908,806.304545,639.403402,0.541156
11-12-2020,14:53:03,-0.017577,-0.014948,0.070776,-0.008509,1.348843,4.099247,-2.140965,0.478839,-637.163898,720.099537,806.180065,642.332445,0.542555
11-12-2020,14:53:04,-0.013614,-0.015428,0.071203,-0.01652,1.348401,4.101033,-2.140067,0.477781,-637.16181,716.988786,804.651215,637.902121,0.542437
11-12-2020,14:53:05,-0.015977,-0.018069,0.069816,-0.016482,1.345776,4.104412,-2.14043,0.480272,-637.193139,717.629149,803.415603,635.26381,0.542252
11-12-2020,14:53:06,-0.013464,-0.013084,0.077524,-0.016342,1.342549,4.096977,-2.132603,0.479167,-637.150531,710.989094,797.839895,628.772045,0.540557
11-12-2020,14:53:07,-0.014066,-0.016634,0.082392,-0.017853,1.33529,4.081968,-2.113626,0.478764,-637.095392,700.929594,788.736135,621.785701,0.541245
11-12-2020,14:53:08,-0.014665,-0.011877,0.081914,-0.01731,1.324576,4.04195,-2.098452,0.479209,-637.153038,692.72393,778.180804,610.399527,0.540393
11-12-2020,14:53:09,-0.015999,-0.011344,0.079438,-0.016333,1.301921,3.997131,-2.073478,0.480764,-637.113772,674.079059,759.117379,590.394983,0.540938
