X03.07.2018,X14.49.44,X0.001233,X0.000733,X0.003226,X0.001290,X0.002350,X0.000807,X0.002374,X0.415148,X211.931476,X209.731352,X206.512412,X206.383755,X
12-12-2020,14:35:07,-0.066879,0.001018,0.001689,0.000964,-0.089814,0.07611,0.002891,0.706244,-637.104165,-96.396659,-4.406666,-184.794272,0.383809
12-12-2020,14:35:12,0.001279,0.000791,0.00155,0.000922,-0.099727,0.067255,-0.000103,0.705875,-637.112101,-93.830196,-4.463893,-185.074979,0.383996
12-12-2020,14:35:13,0.001162,0.000926,0.002187,0.000809,-0.092403,0.067116,0.001211,0.705761,-637.107506,-94.440483,-3.839404,-184.636792,0.384128
12-12-2020,14:35:14,0.001368,0.000989,0.00145,0.001725,-0.086242,0.067671,0.001561,0.705608,-637.107506,-94.577076,-5.641024,-183.625495,0.384187
12-12-2020,14:35:15,0.001216,0.000773,0.001741,0.000623,-0.086446,0.066918,0.002185,0.705694,-637.107506,-94.180244,-4.549943,-182.814286,0.384106
12-12-2020,14:35:16,0.001083,0.00076,0.001526,0.001078,-0.080676,0.069131,0.001912,0.705465,-637.114608,-93.988093,-4.872004,-184.423338,0.38448
12-12-2020,14:35:17,0.001485,0.000888,0.001261,0.001072,-0.07469,0.069078,0.001317,0.705629,-637.103747,-95.186946,-4.383691,-184.158086,0.384684
12-12-2020,14:35:18,0.001218,0.000829,0.001702,0.00122,-0.071185,0.070406,0.003636,0.705118,-637.097481,-94.734974,-4.671917,-184.459262,0.384611
12-12-2020,14:35:19,0.001144,0.000771,0.001752,0.001676,-0.069347,0.070666,0.002139,0.705151,-637.103329,-94.785518,-4.883282,-184.336035,0.384497
12-12-2020,14:35:20,0.001052,0.000863,0.001497,0.001389,-0.071919,0.070823,0.004244,0.704975,-637.102911,-94.870733,-5.854896,-183.66309,0.384684
12-12-2020,14:35:21,0.001078,0.000693,0.002024,0.001287,-0.075815,0.068802,0.001462,0.704767,-637.097481,-94.45385,-3.892036,-184.554084,0.384811
12-12-2020,14:35:22,0.001317,0.000959,0.0021,0.000984,-0.073808,0.071455,0.002022,0.704786,-637.103329,-95.125123,-4.217439,-184.093758,0.3851
12-12-2020,14:35:23,0.001124,0.001065,0.002166,0.001294,-0.072544,0.069836,0.063255,0.704724,-637.098734,-94.657696,-4.94594,-184.73412,0.385035
12-12-2020,14:35:24,0.001142,0.000803,0.001678,0.001114,-0.072571,0.071813,0.002805,0.704823,-637.099987,-94.72662,-5.571265,-184.669374,0.385391
12-12-2020,14:35:25,0.001142,0.001078,0.001975,0.000661,-0.070354,0.070552,0.003773,0.704566,-637.109595,-94.881593,-4.713689,-184.018151,0.385262
12-12-2020,14:35:27,0.000962,0.000993,0.002132,0.001126,-0.071634,0.070742,0.001649,0.704296,-637.105,-94.317256,-5.666923,-184.147644,0.385622
12-12-2020,14:35:28,0.001117,0.000737,0.001972,0.000654,-0.073646,0.070923,0.002419,0.704552,-637.100405,-95.314768,-5.875364,-185.491444,0.385284
12-12-2020,14:35:29,0.001195,0.001083,0.00182,0.001728,-0.075233,0.068168,0.002971,0.704523,-637.100405,-95.484361,-5.542025,-184.794272,0.385428
12-12-2020,14:35:30,0.00113,0.000964,0.001804,0.000957,-0.076453,0.070499,0.002361,0.704219,-637.105418,-95.336071,-5.433836,-184.93003,0.385765
12-12-2020,14:35:31,0.001197,0.000993,0.001634,0.002103,-0.073157,0.072044,0.001148,0.70431,-637.093722,-95.412514,-5.572518,-184.783829,0.385489
12-12-2020,14:35:32,0.001045,0.001056,0.001634,0.002033,-0.074084,0.070388,0.002787,0.704248,-637.102076,-95.062466,-5.66191,-184.521084,0.385813
12-12-2020,14:35:33,0.001087,0.000973,0.002158,0.00109,-0.075045,0.07063,-0.06141,0.704443,-637.097899,-95.031137,-5.65648,-184.838132,0.385842
12-12-2020,14:35:34,0.001276,0.00082,0.001982,0.001512,-0.07474,0.074534,-0.065557,0.704282,-637.094139,-95.427969,-5.325647,-184.656007,0.385875
12-12-2020,14:35:35,0.001169,0.000748,0.00219,0.002734,-0.072158,0.073021,-0.072526,0.70389,-637.11043,-95.25754,-4.762562,-186.29597,0.385897
